date,TWA00,TWB23,TWB28,TWA06,OTC,AN,my_cy
1996/8/16,6249.61,86.68,1572.32,,151.91,,4
1996/8/19,6047.51,83.91,1522.49,,149.55,,4
1996/8/20,6057.44,84.59,1526.84,,148.65,,4
1996/8/21,6177.78,86.43,1551.84,,150.32,,4
1996/8/22,6160.82,86.34,1546.03,,149.8,,4
1996/8/23,6200.22,86.67,1561.44,,149.8,,4
1996/8/26,6200.48,86.24,1568.86,,149.21,,4
1996/8/27,6232.53,86.82,1577.82,,148.85,,4
1996/8/28,6256.76,87.81,1580.87,,149.05,,4
1996/8/29,6312.43,88.11,1600.47,,148.64,,4
1996/8/30,6309.82,88.75,1593.26,,148.99,,4
1996/9/3,6257.97,89.28,1584.79,,148.94,,4
1996/9/4,6228.78,90.5,1567.61,,147.7,,4
1996/9/5,6304.96,91.69,1589.22,,147.82,,4
1996/9/6,6290.23,91.17,1586.2,,148.76,,4
1996/9/9,6435.43,93.07,1623.27,,157.21,,4
1996/9/10,6415.76,92.46,1621.12,,155.11,,4
1996/9/11,6455.44,91.99,1630.68,,155.03,,4
1996/9/12,6425.68,90.78,1624.21,,154.55,,4
1996/9/13,6471.63,91.53,1631.65,,154.28,,4
1996/9/16,6518.46,91.04,1654.87,,155.85,,4
1996/9/17,6478.44,91.35,1635.81,,154.18,,4
1996/9/18,6499.02,92.82,1634.45,,154.07,,4
1996/9/19,6535.59,93.07,1643.42,,153.68,,4
1996/9/20,6499.52,92.54,1637.9,,153.19,,4
1996/9/23,6453.98,92.59,1626.31,,152.87,,4
1996/9/24,6477.85,93.04,1635.08,,153.05,,4
1996/9/25,6438.52,93.64,1622.26,,152.94,,4
1996/9/26,6508.17,95.22,1632,,154.3,,4
1996/9/30,6504.68,94.8,1635.39,,155.18,,4
1996/10/1,6513.73,95.97,1634.87,,156.92,,4
1996/10/2,6538.24,96.18,1642.18,,156.73,,4
1996/10/3,6611.58,96.49,1662.48,,158.69,,4
1996/10/4,6616.21,98.02,1653.5,,164.63,,4
1996/10/7,6620.42,97.87,1648.34,,163.38,,4
1996/10/8,6584.91,97.99,1636.08,,162.49,,4
1996/10/9,6587.86,98.28,1632.78,,163.03,,4
1996/10/11,6578.36,99.13,1611.34,,168.29,,4
1996/10/15,6616.38,98.65,1622.41,,174.73,,4
1996/10/16,6551.26,98.31,1604.72,,174.2,,4
1996/10/17,6494.34,98.25,1581.65,,173.6,,4
1996/10/18,6475.42,98.65,1576.74,,171.97,,4
1996/10/21,6441.15,98.45,1565.06,,172.96,,4
1996/10/22,6426.3,97.8,1569.05,,172.46,,4
1996/10/23,6437.06,97.09,1573.62,,171.44,,4
1996/10/24,6458.91,98.09,1576.57,,174.68,,4
1996/10/28,6424.72,97.96,1563.17,,181.61,,4
1996/10/29,6359.67,97.85,1542.26,,182.14,,4
1996/10/30,6426.09,98.32,1552.91,,180.11,,4
1996/11/1,6455.11,99.67,1564.56,,181.33,,4
1996/11/4,6622.61,102.61,1622,,187.55,,4
1996/11/5,6604.14,103.68,1609.69,,187.71,,4
1996/11/6,6653.65,104.87,1631.62,,192.46,,4
1996/11/7,6629.68,104.46,1623.78,,196.02,,4
1996/11/8,6581.96,104.01,1608.87,,193.42,,4
1996/11/13,6577.29,106.19,1606.46,,198.11,,4
1996/11/14,6601.63,104.9,1614.33,,197.81,,4
1996/11/15,6587.44,104.32,1610.66,,192.57,,4
1996/11/18,6659.72,104.95,1622.08,,194.31,,4
1996/11/19,6687.88,106.53,1625.57,,195.54,,4
1996/11/20,6729.36,107.82,1622.13,,196.82,,4
1996/11/21,6692.49,109.61,1609.63,,201.88,,4
1996/11/22,6761.39,113.14,1639.87,,207.68,,4
1996/11/25,6938.87,114.47,1692.3,,216.4,,4
1996/11/26,6927.77,113.93,1685.89,,215.88,,4
