date,us30r,crb,oecd
1994/1/3,6.416,113.94,99.7918
1994/1/4,6.351,114.17,99.7918
1994/1/5,6.4,116.27,99.7918
1994/1/6,6.344,116.51,99.7918
1994/1/7,6.227,116.3,99.7918
1994/1/10,6.242,114.86,99.7918
1994/1/11,6.234,115.73,99.7918
1994/1/12,6.174,114.94,99.7918
1994/1/13,6.262,115.76,99.7918
1994/1/14,6.296,117.19,99.7918
1994/1/17,6.305,117.5,99.7918
1994/1/18,6.264,116.85,99.7918
1994/1/19,6.297,116.54,99.7918
1994/1/20,6.266,116.03,99.7918
1994/1/21,6.281,116.21,99.7918
1994/1/24,6.297,117.37,99.7918
1994/1/25,6.341,117.32,99.7918
1994/1/26,6.311,118.67,99.7918
1994/1/27,6.26,118.64,99.7918
1994/1/28,6.217,118.72,99.7918
1994/1/31,6.238,118.52,99.9998
1994/2/1,6.313,120.8,99.9998
1994/2/2,6.281,121.32,99.9998
1994/2/3,6.303,120.97,99.9998
1994/2/4,6.362,120.22,99.9998
1994/2/7,6.388,119.2,99.9998
1994/2/8,6.446,119.53,99.9998
1994/2/9,6.414,118.32,99.9998
1994/2/10,6.441,118.14,99.9998
1994/2/11,6.407,118.32,99.9998
1994/2/14,6.441,116.99,99.9998
1994/2/15,6.451,116.82,99.9998
1994/2/16,6.457,116.75,99.9998
1994/2/17,6.54,117.3,99.9998
1994/2/18,6.625,117.51,99.9998
1994/2/22,6.599,118.05,99.9998
1994/2/23,6.645,117.96,99.9998
1994/2/24,6.74,119.06,99.9998
1994/2/25,6.713,118.56,99.9998
1994/2/28,6.661,118.03,100.1908
1994/3/1,6.779,118.28,100.1908
1994/3/2,6.772,118.04,100.1908
1994/3/3,6.836,117.66,100.1908
1994/3/4,6.839,118.11,100.1908
1994/3/7,6.8,116.93,100.1908
1994/3/8,6.864,116.72,100.1908
1994/3/9,6.834,116.97,100.1908
1994/3/10,6.956,117.13,100.1908
1994/3/11,6.904,118.03,100.1908
1994/3/14,6.944,118.65,100.1908
1994/3/15,6.889,119.48,100.1908
1994/3/16,6.8,120.49,100.1908
1994/3/17,6.826,119.61,100.1908
1994/3/18,6.919,119.88,100.1908
1994/3/21,6.961,120.2,100.1908
1994/3/22,6.848,120.46,100.1908
1994/3/23,6.889,120.08,100.1908
1994/3/24,6.952,120.21,100.1908
1994/3/25,7.016,120.25,100.1908
1994/3/28,6.975,117.07,100.1908
1994/3/29,7.06,117.29,100.1908
1994/3/30,7.103,117.26,100.1908
1994/3/31,7.092,118.45,100.3659
1994/4/4,7.416,120.3,100.3659
1994/4/5,7.251,119.31,100.3659
1994/4/6,7.253,119.89,100.3659
1994/4/7,7.212,119.27,100.3659
1994/4/8,7.264,119.12,100.3659
1994/4/11,7.234,119.37,100.3659
1994/4/12,7.214,119.14,100.3659
1994/4/13,7.257,119.62,100.3659
1994/4/14,7.283,120.31,100.3659
1994/4/15,7.289,120.87,100.3659
1994/4/18,7.409,120.75,100.3659
1994/4/19,7.368,119.4,100.3659
1994/4/20,7.32,119.72,100.3659
1994/4/21,7.212,120.87,100.3659
1994/4/22,7.233,122.13,100.3659
1994/4/25,7.147,122.5,100.3659
1994/4/26,7.101,121.33,100.3659
1994/4/27,7.106,121.39,100.3659
1994/4/28,7.258,121.35,100.3659
1994/4/29,7.307,122.47,100.3659
1994/5/2,7.332,122.82,100.5274
1994/5/3,7.349,122.36,100.5274
1994/5/4,7.336,122.38,100.5274
1994/5/5,7.336,123.28,100.5274
1994/5/6,7.541,124.91,100.5274
1994/5/9,7.632,125.21,100.5274
1994/5/10,7.498,124.67,100.5274
1994/5/11,7.609,125.36,100.5274
